% Moku:Go PID Controller
% Input A
% Input B
% Control matrix: 1-1 = 0.5, 1-2 = 0, 2-1 = 0, 2-2 = 0
% Controller 1: PI controller: proportional gain +0.0 dB, integrator crossover 2.100 kHz, input offset -1.500 0 V, output offset 0.000 0 V
% Controller 2: PI controller: proportional gain -10.0 dB, integrator crossover 310.0 Hz, integrator saturation +40.0 dB, input offset 0.000 0 V, output offset 0.000 0 V
% Acquired 2023-06-02 T 20:03:43 -0700
% Time (s), Probe A (V), Probe B (V)
6.4333333333e-02, 5.0022899365e+00, 3.0221064583e+00
6.4666666667e-02, 5.0022899365e+00, 3.0207444561e+00
6.5000000000e-02, 5.0022899365e+00, 3.0198327026e+00
6.5333333333e-02, 5.0022899365e+00, 3.0203561167e+00
6.5666666667e-02, 5.0022899365e+00, 3.0236992129e+00
6.6000000000e-02, 5.0022899365e+00, 3.0242826601e+00
6.6333333333e-02, 5.0022899365e+00, 3.0251456367e+00
6.6666666667e-02, 5.0022899365e+00, 3.0257028194e+00
6.7000000000e-02, 5.0022899365e+00, 3.0255771250e+00
6.7333333333e-02, 5.0022899365e+00, 3.0262881426e+00
6.7666666667e-02, 5.0022899365e+00, 3.0261211754e+00
6.8000000000e-02, 5.0022899365e+00, 3.0261943408e+00
6.8333333333e-02, 5.0022899365e+00, 3.0264269693e+00
6.8666666667e-02, 5.0022899365e+00, 3.0260461340e+00
6.9000000000e-02, 5.0022899365e+00, 3.0255077116e+00
6.9333333333e-02, 5.0022899365e+00, 3.0253107278e+00
6.9666666667e-02, 5.0022899365e+00, 3.0249974298e+00
7.0000000000e-02, 5.0022899365e+00, 3.0246991401e+00
7.0333333333e-02, 5.0022899365e+00, 3.0243483214e+00
7.0666666667e-02, 5.0022899365e+00, 3.0243276850e+00
7.1000000000e-02, 5.0022899365e+00, 3.0242132468e+00
7.1333333333e-02, 5.0022899365e+00, 3.0240969325e+00
7.1666666667e-02, 5.0022899365e+00, 3.0239768662e+00
7.2000000000e-02, 5.0022899365e+00, 3.0239599819e+00
7.2333333333e-02, 5.0022899365e+00, 3.0240800482e+00
7.2666666667e-02, 5.0022899365e+00, 3.0241044367e+00
7.3000000000e-02, 5.0022899365e+00, 3.0250743473e+00
7.3333333333e-02, 5.0022899365e+00, 3.0267046226e+00
7.3666666667e-02, 5.0022899365e+00, 3.0274550370e+00
7.4000000000e-02, 5.0022899365e+00, 3.0247479170e+00
7.4333333333e-02, 5.0022899365e+00, 3.0240819242e+00
7.4666666667e-02, 5.0022899365e+00, 3.0240200151e+00
7.5000000000e-02, 5.0022899365e+00, 3.0239037008e+00
7.5333333333e-02, 5.0022899365e+00, 3.0238136511e+00
7.5666666667e-02, 5.0022899365e+00, 3.0237423617e+00
7.6000000000e-02, 5.0022899365e+00, 3.0238211552e+00
7.6333333333e-02, 5.0022899365e+00, 3.0237629981e+00
7.6666666667e-02, 5.0022899365e+00, 3.0237911387e+00
7.7000000000e-02, 5.0022899365e+00, 3.0237179733e+00
7.7333333333e-02, 5.0022899365e+00, 3.0236729484e+00
7.7666666667e-02, 5.0022899365e+00, 3.0235735185e+00
7.8000000000e-02, 5.0022899365e+00, 3.0236579401e+00
7.8333333333e-02, 5.0022899365e+00, 3.0235660143e+00
7.8666666667e-02, 5.0022899365e+00, 3.0235303696e+00
7.9000000000e-02, 5.0022899365e+00, 3.0235116093e+00
7.9333333333e-02, 5.0022899365e+00, 3.0236504360e+00
7.9666666667e-02, 5.0022899365e+00, 3.0234834687e+00
8.0000000000e-02, 5.0022899365e+00, 3.0236072871e+00
8.0333333333e-02, 5.0022899365e+00, 3.0237010889e+00
8.0666666667e-02, 5.0022899365e+00, 3.0234384439e+00
8.1000000000e-02, 5.0022899365e+00, 3.0230388482e+00
8.1333333333e-02, 5.0022899365e+00, 3.0220801938e+00
8.1666666667e-02, 5.0022899365e+00, 3.0211140352e+00
8.2000000000e-02, 5.0022899365e+00, 3.0216712179e+00
8.2333333333e-02, 5.0022899365e+00, 3.0242226269e+00
8.2666666667e-02, 5.0022899365e+00, 3.0257234558e+00
8.3000000000e-02, 5.0022899365e+00, 3.0265507877e+00
8.3333333333e-02, 5.0022899365e+00, 3.0272186565e+00
8.3666666667e-02, 5.0022899365e+00, 3.0274400288e+00
8.4000000000e-02, 5.0022899365e+00, 3.0271755077e+00
8.4333333333e-02, 5.0022899365e+00, 3.0267477715e+00
8.4666666667e-02, 5.0022899365e+00, 3.0273518551e+00
8.5000000000e-02, 5.0022899365e+00, 3.0270817059e+00
8.5333333333e-02, 5.0022899365e+00, 3.0267702839e+00
8.5666666667e-02, 5.0022899365e+00, 3.0265470356e+00
8.6000000000e-02, 5.0022899365e+00, 3.0264363495e+00
8.6333333333e-02, 5.0022899365e+00, 3.0258510262e+00
8.6666666667e-02, 5.0022899365e+00, 3.0259842248e+00
8.7000000000e-02, 5.0022899365e+00, 3.0253107278e+00
8.7333333333e-02, 5.0022899365e+00, 3.0252281823e+00
8.7666666667e-02, 5.0022899365e+00, 3.0246578673e+00
8.8000000000e-02, 5.0022899365e+00, 3.0243802140e+00
8.8333333333e-02, 5.0022899365e+00, 3.0241663459e+00
8.8666666667e-02, 5.0022899365e+00, 3.0241757260e+00
8.9000000000e-02, 5.0022899365e+00, 3.0241963624e+00
8.9333333333e-02, 5.0022899365e+00, 3.0243295610e+00
8.9666666667e-02, 5.0022899365e+00, 3.0247854378e+00
9.0000000000e-02, 5.0022899365e+00, 3.0262018450e+00
9.0333333333e-02, 5.0022899365e+00, 3.0266577217e+00
9.0666666667e-02, 5.0022899365e+00, 3.0241982385e+00
9.1000000000e-02, 5.0022899365e+00, 3.0240687920e+00
9.1333333333e-02, 5.0022899365e+00, 3.0240669160e+00
9.1666666667e-02, 5.0022899365e+00, 3.0240218911e+00
9.2000000000e-02, 5.0022899365e+00, 3.0240444035e+00
9.2333333333e-02, 5.0022899365e+00, 3.0240143869e+00
9.2666666667e-02, 5.0022899365e+00, 3.0239937505e+00
9.3000000000e-02, 5.0022899365e+00, 3.0241325772e+00
9.3333333333e-02, 5.0022899365e+00, 3.0241419574e+00
9.3666666667e-02, 5.0022899365e+00, 3.0241081887e+00
9.4000000000e-02, 5.0022899365e+00, 3.0241719740e+00
9.4333333333e-02, 5.0022899365e+00, 3.0240744201e+00
9.4666666667e-02, 5.0022899365e+00, 3.0241156929e+00
9.5000000000e-02, 5.0022899365e+00, 3.0241776021e+00
9.5333333333e-02, 5.0022899365e+00, 3.0241194450e+00
9.5666666667e-02, 5.0022899365e+00, 3.0241081887e+00
9.6000000000e-02, 5.0022899365e+00, 3.0240293952e+00
9.6333333333e-02, 5.0022899365e+00, 3.0241851062e+00
9.6666666667e-02, 5.0022899365e+00, 3.0241776021e+00
9.7000000000e-02, 5.0022899365e+00, 3.0241682219e+00
