% Moku:Go PID Controller
% Input A
% Input B
% Control matrix: 1-1 = 1, 1-2 = 0, 2-1 = -1, 2-2 = 1
% Controller 1: PI controller: proportional gain +17.1 dB, integrator crossover 482.9 Hz, input offset 0.000 0 V, output offset 0.000 0 V
% Controller 2: PI controller: proportional gain -10.0 dB, integrator crossover 310.1 Hz, integrator saturation +40.2 dB, input offset 0.000 0 V, output offset 0.000 0 V
% Acquired 2023-05-22 T 17:35:30 -0700
% Time (s), Probe A (V), Probe B (V)
4.8996864000e-02, 3.0026854987e+00, 4.6392665271e-01
4.9330176000e-02, 3.0016373808e+00, 4.7667947671e-01
4.9663488000e-02, 3.0001234197e+00, 4.7048269516e-01
4.9996800000e-02, 2.9990927724e+00, 4.6459622170e-01
5.0330112000e-02, 2.9992340614e+00, 4.6074044000e-01
5.0663424000e-02, 2.9990328565e+00, 4.5561200235e-01
5.0996736000e-02, 2.9997117471e+00, 4.5892338184e-01
5.1330048000e-02, 2.9994516816e+00, 4.5657270868e-01
5.1663360000e-02, 2.9994869745e+00, 4.5473220008e-01
5.1996672000e-02, 2.9995053831e+00, 4.5467075990e-01
5.2329984000e-02, 2.9999182283e+00, 4.5881140594e-01
5.2663296000e-02, 2.9996055165e+00, 4.5668849528e-01
5.2996608000e-02, 2.9997298039e+00, 4.5790932574e-01
5.3329920000e-02, 2.9999038063e+00, 4.6047926061e-01
5.3663232000e-02, 2.9995307096e+00, 4.5914487135e-01
5.3996544000e-02, 2.9997670901e+00, 4.5975018610e-01
5.4329856000e-02, 2.9996606251e+00, 4.5941912437e-01
5.4663168000e-02, 2.9997212445e+00, 4.5916210743e-01
5.4996480000e-02, 2.9999237391e+00, 4.6187368302e-01
5.5329792000e-02, 2.9995550981e+00, 4.5841515196e-01
5.5663104000e-02, 2.9997775256e+00, 4.6011319908e-01
5.5996416000e-02, 3.0002012752e+00, 4.6595066110e-01
5.6329728000e-02, 3.0002438378e+00, 4.7211924348e-01
5.6663040000e-02, 2.9999412097e+00, 4.7312005008e-01
5.6996352000e-02, 2.9988837117e+00, 4.6702269844e-01
5.7329664000e-02, 2.9971231691e+00, 4.4509594095e-01
5.7662976000e-02, 2.9975955784e+00, 4.1965958904e-01
5.7996288000e-02, 3.0010221582e+00, 4.4762131997e-01
5.8329600000e-02, 3.0001650443e+00, 4.4757916778e-01
5.8662912000e-02, 3.0004288618e+00, 4.5700953195e-01
5.8996224000e-02, 3.0002098346e+00, 4.5969554655e-01
5.9329536000e-02, 3.0000704217e+00, 4.6174476417e-01
5.9662848000e-02, 2.9996762196e+00, 4.6118822635e-01
5.9996160000e-02, 2.9998255990e+00, 4.6177841557e-01
6.0329472000e-02, 2.9996030542e+00, 4.5934894889e-01
6.0662784000e-02, 2.9996080961e+00, 4.5970768216e-01
6.0996096000e-02, 2.9997925339e+00, 4.6092798498e-01
6.1329408000e-02, 2.9994678624e+00, 4.5781036484e-01
6.1662720000e-02, 2.9996179453e+00, 4.5798079099e-01
6.1996032000e-02, 2.9995456006e+00, 4.5778240017e-01
6.2329344000e-02, 2.9996955663e+00, 4.5768554981e-01
6.2662656000e-02, 2.9995215639e+00, 4.5660524618e-01
6.2995968000e-02, 2.9997076432e+00, 4.5846070446e-01
6.3329280000e-02, 2.9995839421e+00, 4.5715023465e-01
6.3662592000e-02, 2.9997412946e+00, 4.5665115044e-01
6.3995904000e-02, 2.9991279481e+00, 4.5096781651e-01
6.4329216000e-02, 2.9992515320e+00, 4.4888131267e-01
6.4662528000e-02, 2.9989810310e+00, 4.4314609462e-01
6.4995840000e-02, 2.9987611831e+00, 4.3542356813e-01
6.5329152000e-02, 2.9990362568e+00, 4.3032080873e-01
6.5662464000e-02, 3.0022964557e+00, 4.5933423374e-01
6.5995776000e-02, 3.0013994760e+00, 4.7232543156e-01
6.6329088000e-02, 3.0002246084e+00, 4.7078503010e-01
6.6662400000e-02, 2.9988458392e+00, 4.5844247173e-01
6.6995712000e-02, 2.9999871726e+00, 4.6483447828e-01
6.7329024000e-02, 2.9988335277e+00, 4.5432205170e-01
6.7662336000e-02, 2.9995364549e+00, 4.5583999936e-01
6.7995648000e-02, 2.9992563393e+00, 4.5360317814e-01
6.8328960000e-02, 2.9998304063e+00, 4.5794362202e-01
6.8662272000e-02, 2.9995538083e+00, 4.5567930515e-01
6.8995584000e-02, 2.9999100206e+00, 4.5931699766e-01
6.9328896000e-02, 2.9997328525e+00, 4.5875694227e-01
6.9662208000e-02, 2.9995047968e+00, 4.5755809662e-01
6.9995520000e-02, 2.9996938075e+00, 4.5882981455e-01
7.0328832000e-02, 2.9997011944e+00, 4.5962695399e-01
7.0662144000e-02, 2.9997154991e+00, 4.5878602083e-01
7.0995456000e-02, 2.9997975757e+00, 4.6061814590e-01
7.1328768000e-02, 2.9994072430e+00, 4.5554487544e-01
7.1662080000e-02, 2.9995995367e+00, 4.5571635686e-01
7.1995392000e-02, 3.0002960150e+00, 4.6288891165e-01
7.2328704000e-02, 2.9998350964e+00, 4.6279036113e-01
7.2662016000e-02, 3.0000846092e+00, 4.6620562612e-01
7.2995328000e-02, 3.0000829677e+00, 4.7082442685e-01
7.3328640000e-02, 3.0001360830e+00, 4.7519418380e-01
7.3661952000e-02, 2.9990687357e+00, 4.6831047993e-01
7.3995264000e-02, 2.9981881713e+00, 4.5335835543e-01
7.4328576000e-02, 2.9965326867e+00, 4.1868809550e-01
7.4661888000e-02, 3.0004847912e+00, 4.4231442439e-01
7.4995200000e-02, 3.0010572167e+00, 4.5507821147e-01
7.5328512000e-02, 2.9999930352e+00, 4.5542269859e-01
7.5661824000e-02, 3.0002275397e+00, 4.6106259057e-01
7.5995136000e-02, 3.0000875405e+00, 4.6098092437e-01
7.6328448000e-02, 3.0000250451e+00, 4.6366541469e-01
7.6661760000e-02, 2.9992375790e+00, 4.5798378092e-01
7.6995072000e-02, 3.0000585792e+00, 4.6274269809e-01
7.7328384000e-02, 2.9991987685e+00, 4.5619486330e-01
7.7661696000e-02, 2.9996281462e+00, 4.5820808448e-01
7.7995008000e-02, 2.9998359172e+00, 4.5912751802e-01
7.8328320000e-02, 2.9991971269e+00, 4.5503113469e-01
7.8661632000e-02, 3.0002128832e+00, 4.6186524086e-01
7.8994944000e-02, 2.9992278470e+00, 4.5539813424e-01
7.9328256000e-02, 2.9994554336e+00, 4.5470482168e-01
7.9661568000e-02, 2.9995040933e+00, 4.5450613773e-01
7.9994880000e-02, 2.9995583811e+00, 4.5600069357e-01
8.0328192000e-02, 2.9995652990e+00, 4.5549000138e-01
8.0661504000e-02, 2.9994619998e+00, 4.5261057919e-01
8.0994816000e-02, 2.9991932576e+00, 4.4914366459e-01
8.1328128000e-02, 2.9985837804e+00, 4.3784025431e-01
8.1661440000e-02, 2.9983184385e+00, 4.2650905525e-01
8.1994752000e-02, 2.9991646481e+00, 4.2406833236e-01
8.2328064000e-02, 3.0027904395e+00, 4.6036710883e-01
8.2661376000e-02, 3.0016168617e+00, 4.7367852256e-01
8.2994688000e-02, 2.9999925662e+00, 4.6893449642e-01
8.3328000000e-02, 2.9996950972e+00, 4.6670857966e-01
8.3661312000e-02, 2.9994913128e+00, 4.6319441240e-01
8.3994624000e-02, 2.9990575967e+00, 4.5724386058e-01
8.4327936000e-02, 2.9991155194e+00, 4.5546807521e-01
8.4661248000e-02, 2.9995925015e+00, 4.5801561490e-01
8.4994560000e-02, 2.9997159681e+00, 4.5862931319e-01
8.5327872000e-02, 2.9995970744e+00, 4.5813368792e-01
8.5661184000e-02, 3.0002304710e+00, 4.6301314041e-01
8.5994496000e-02, 2.9993650322e+00, 4.5651971067e-01
8.6327808000e-02, 2.9996147794e+00, 4.5827708743e-01
8.6661120000e-02, 2.9996852481e+00, 4.5838888745e-01
8.6994432000e-02, 2.9997597032e+00, 4.6145679264e-01
8.7327744000e-02, 2.9995723341e+00, 4.5871068626e-01
8.7661056000e-02, 2.9995407933e+00, 4.5850221175e-01
8.7994368000e-02, 2.9996080961e+00, 4.5902568443e-01
8.8327680000e-02, 2.9996055165e+00, 4.5647216488e-01
8.8660992000e-02, 2.9998923155e+00, 4.5791512972e-01
8.8994304000e-02, 3.0000571722e+00, 4.6084754993e-01
8.9327616000e-02, 3.0001823976e+00, 4.6547596535e-01
8.9660928000e-02, 3.0003630833e+00, 4.7162637363e-01
8.9994240000e-02, 2.9996818477e+00, 4.7047390124e-01
9.0327552000e-02, 2.9993884826e+00, 4.6648779367e-01
9.0660864000e-02, 2.9971693665e+00, 4.3487459309e-01
9.0994176000e-02, 2.9978839017e+00, 4.2849448764e-01
9.1327488000e-02, 3.0003537031e+00, 4.4463947793e-01
9.1660800000e-02, 3.0007162471e+00, 4.5460111206e-01
9.1994112000e-02, 2.9999144762e+00, 4.5424232017e-01
9.2327424000e-02, 3.0004428149e+00, 4.6031944579e-01
9.2660736000e-02, 3.0001838046e+00, 4.6255802579e-01
9.2994048000e-02, 2.9997221825e+00, 4.6269532818e-01
9.3327360000e-02, 2.9991558541e+00, 4.5491951055e-01
9.3660672000e-02, 2.9996154830e+00, 4.5658953438e-01
9.3993984000e-02, 3.0001546088e+00, 4.6194972111e-01
9.4327296000e-02, 2.9995266058e+00, 4.5877177468e-01
9.4660608000e-02, 2.9996911107e+00, 4.5932397416e-01
9.4993920000e-02, 2.9991805944e+00, 4.5374974345e-01
9.5327232000e-02, 2.9999265532e+00, 4.5913367376e-01
9.5660544000e-02, 2.9998436558e+00, 4.6044173989e-01
9.5993856000e-02, 2.9988282513e+00, 4.5139748739e-01
9.6327168000e-02, 2.9997441087e+00, 4.5498118523e-01
9.6660480000e-02, 2.9997296867e+00, 4.5537568044e-01
9.6993792000e-02, 3.0000241071e+00, 4.5893668997e-01
9.7327104000e-02, 2.9991095395e+00, 4.5049505543e-01
9.7660416000e-02, 2.9987593070e+00, 4.4391069656e-01
9.7993728000e-02, 2.9984905649e+00, 4.3594979624e-01
9.8327040000e-02, 2.9980247217e+00, 4.2023764264e-01
9.8660352000e-02, 2.9989207634e+00, 4.1732146187e-01
9.8993664000e-02, 3.0030302203e+00, 4.5477857334e-01
9.9326976000e-02, 3.0019308632e+00, 4.7270550474e-01
9.9660288000e-02, 3.0001486290e+00, 4.6952785144e-01
9.9993600000e-02, 2.9994195544e+00, 4.6479971299e-01
1.0032691200e-01, 2.9999876416e+00, 4.6818888935e-01
1.0066022400e-01, 2.9989789205e+00, 4.5871420383e-01
1.0099353600e-01, 2.9991036769e+00, 4.5510095841e-01
1.0132684800e-01, 2.9996027025e+00, 4.5615405952e-01
1.0166016000e-01, 2.9997811604e+00, 4.5745356623e-01
1.0199347200e-01, 2.9996452650e+00, 4.5868993261e-01
1.0232678400e-01, 2.9995594364e+00, 4.5713129842e-01
1.0266009600e-01, 2.9997381288e+00, 4.5894759443e-01
1.0299340800e-01, 2.9996211111e+00, 4.5848585506e-01
1.0332672000e-01, 2.9999299535e+00, 4.6063151266e-01
1.0366003200e-01, 2.9996212283e+00, 4.5780825430e-01
1.0399334400e-01, 3.0000853127e+00, 4.6138075455e-01
1.0432665600e-01, 2.9995270748e+00, 4.5872041819e-01
1.0465996800e-01, 2.9995411450e+00, 4.5837886238e-01
1.0499328000e-01, 2.9995504080e+00, 4.5771169707e-01
1.0532659200e-01, 2.9996877104e+00, 4.5904075135e-01
1.0565990400e-01, 2.9998906740e+00, 4.6235072381e-01
1.0599321600e-01, 2.9999390992e+00, 4.6453706794e-01
1.0632652800e-01, 2.9997464537e+00, 4.6520892335e-01
1.0665984000e-01, 2.9992600914e+00, 4.6126760613e-01
1.0699315200e-01, 2.9990432920e+00, 4.5698361920e-01
1.0732646400e-01, 2.9982450386e+00, 4.4590029140e-01
1.0765977600e-01, 2.9987043157e+00, 4.3443606966e-01
1.0799308800e-01, 3.0005109384e+00, 4.4796023760e-01
1.0832640000e-01, 3.0004898330e+00, 4.5366860489e-01
1.0865971200e-01, 3.0005654607e+00, 4.6200524005e-01
1.0899302400e-01, 3.0000010084e+00, 4.5939274261e-01
1.0932633600e-01, 2.9992521182e+00, 4.5302289674e-01
1.0965964800e-01, 2.9999040408e+00, 4.5767142092e-01
1.0999296000e-01, 2.9997220653e+00, 4.5690986754e-01
1.1032627200e-01, 2.9994297554e+00, 4.5741727666e-01
1.1065958400e-01, 2.9991678139e+00, 4.5567285627e-01
1.1099289600e-01, 2.9997907751e+00, 4.5732365074e-01
